time,gFx,gFy,gFz,TgF
0.002529192,0.0209,-0.0182,0.9979,0.998
0.003326038,0.0470,0.0026,1.0251,1.026
0.007681307,0.0388,0.0066,1.0145,1.015
0.018676,0.0381,0.0016,1.0092,1.010
0.027548153,0.0319,-0.0086,1.0169,1.017
0.037569769,0.0341,-0.0040,1.0258,1.026
0.055167384,0.0348,-0.0188,1.0223,1.023
0.057615769,0.0200,-0.0246,1.0205,1.021
0.070589153,0.0239,-0.0155,1.0118,1.012
0.077494153,0.0331,-0.0120,1.0241,1.025
0.087735615,0.0310,-0.0049,1.0245,1.025
0.102995653,0.0270,-0.0004,0.9987,0.999
0.107966577,0.0231,0.0017,0.9946,0.995
0.125400923,0.0266,-0.0079,1.0021,1.003
0.1277305,0.0359,-0.0054,1.0200,1.021
0.137834192,0.0359,-0.0054,1.0219,1.023
0.148766,0.0321,-0.0083,1.0219,1.022
0.157808807,0.0309,-0.0206,1.0228,1.023
0.167700923,0.0269,-0.0200,1.0131,1.014
0.177731384,0.0443,-0.0089,1.0363,1.037
0.187707884,0.0417,-0.0050,1.0491,1.050
0.204853653,0.0418,0.0087,1.0436,1.044
0.210387346,0.0485,0.0129,1.0466,1.048
0.234320538,0.0435,0.0090,1.0421,1.043
0.235275999,0.0442,-0.0005,1.0416,1.043
0.237585923,0.0419,-0.0049,1.0300,1.031
0.248785961,0.0319,-0.0194,1.0191,1.020
0.257807346,0.0353,-0.0200,1.0316,1.032
0.267518307,0.0292,-0.0106,1.0284,1.029
0.277838499,0.0260,-0.0115,1.0194,1.020
0.287741807,0.0425,-0.0012,1.0425,1.043
0.304807153,0.0414,0.0117,1.0410,1.042
0.307710884,0.0401,0.0067,1.0268,1.028
0.317887269,0.0362,-0.0046,1.0251,1.026
0.328069422,0.0254,-0.0062,1.0124,1.013
0.338578807,0.0352,-0.0133,1.0222,1.023
0.353007076,0.0381,-0.0198,1.0436,1.044
0.357997846,0.0467,-0.0100,1.0511,1.052
0.367748922,0.0434,-0.0079,1.0363,1.037
0.378037922,0.0307,-0.0083,1.0218,1.022
0.387686769,0.0498,0.0104,1.0388,1.040
0.404534384,0.0445,0.0122,1.0350,1.036
0.407831192,0.0404,0.0037,1.0289,1.030
0.426792153,0.0420,-0.0043,1.0356,1.036
0.428240307,0.0432,-0.0016,1.0409,1.042
0.43780123,0.0409,-0.0177,1.0329,1.034
0.449647576,0.0370,-0.0164,1.0373,1.038
0.458152615,0.0343,-0.0109,1.0344,1.035
0.467752692,0.0297,-0.0150,1.0218,1.022
